PERMIT,HARVDATE,LOCATION,TANNER,USE,,OLD_NAME
1146760,2/10/2017,E,0,SPORT,,E
1146760,2/11/2017,E,3,SPORT,,E
1146760,2/16/2017,E,3,SPORT,,E
1146760,2/17/2017,E,3,SPORT,,E
1146760,2/18/2017,E,3,SPORT,,E
1146978,1/9/2017,E,3,SPORT,,E
1146978,1/16/2017,E,3,SPORT,,E
1146978,1/18/2017,E,3,SPORT,,E
1146978,1/20/2017,E,3,SPORT,,E
1146978,1/21/2017,E,3,SPORT,,E
1146978,1/24/2017,E,3,SPORT,,E
1146978,1/29/2017,E,3,SPORT,,E
1146978,2/1/2017,E,3,SPORT,,E
1146978,2/5/2017,E,3,SPORT,,E
1146978,2/8/2017,E,3,SPORT,,E
1146978,2/14/2017,E,3,SPORT,,E
1146978,2/19/2017,E,3,SPORT,,E
1146978,2/20/2017,E,3,SPORT,,E
1146978,2/23/2017,E,3,SPORT,,E
1146978,2/27/2017,E,3,SPORT,,E
1147161,1/8/2017,E,3,SPORT,,E
1147161,1/22/2017,E,2,SPORT,,E
1147270,1/8/2017,E,3,SPORT,,E
1147270,1/22/2017,E,3,SPORT,,E
1147379,2/17/2017,E,3,SPORT,,E
1148197,1/4/2017,E,3,SPORT,,E
1148315,42738,,3,SPORT,,COOK INLET SALT WATERS
1148424,1/2/2017,E,3,SPORT,,E
1148424,1/3/2017,E,3,SPORT,,E
1148533,1/3/2017,E,3,SPORT,,E
1148642,1/2/2017,E,3,SPORT,,E
1148642,1/3/2017,E,3,SPORT,,E
1148751,1/3/2017,E,3,SPORT,,E
1148969,2/17/2017,C,3,SPORT,,C
1149043,2/20/2017,E,3,SPORT,,E
1149043,2/21/2017,E,3,SPORT,,E
1149152,1/4/2017,E,3,SPORT,,E
1149479,1/10/2017,E,3,SPORT,,E
1149479,1/12/2017,E,3,SPORT,,E
1149588,1/10/2017,E,3,SPORT,,E
1149588,1/12/2017,E,3,SPORT,,E
1149815,2/18/2017,E,2,SPORT,,KACHEMAK BAY
1149924,1/29/2017,E,3,SPORT,,E
1149924,2/9/2017,E,3,SPORT,,E
1149924,2/12/2017,E,3,SPORT,,E
1149924,2/19/2017,E,3,SPORT,,E
1150933,1/14/2017,E,3,SPORT,,3
1151424,1/12/2017,E,3,SPORT,,E
1151533,2/20/2017,C,3,SPORT,,C
1151860,2/18/2017,E,3,SPORT,,E
1152351,2/18/2017,E,3,SPORT,,E
1152460,1/15/2017,E,3,SPORT,,KACHEMAK BAY
1153188,1/4/2017,E,3,SPORT,,E
1153188,1/5/2017,E,3,SPORT,,E
1153188,1/8/2017,E,3,SPORT,,E
1153188,1/15/2017,E,3,SPORT,,E
1153188,12/2/2017,E,3,SPORT,,E
1153188,12/16/2017,E,3,SPORT,,E
1153188,12/18/2017,E,3,SPORT,,E
1153188,12/21/2017,E,3,SPORT,,E
