PERMIT,HARVDATE,RED,KING,COHO,PINK,CHUM,FLOUNDER,FISHERY
318,7/23/2016,12,0,0,0,0,0,KENAI
320,7/19/2016,6,0,0,0,0,0,KENAI
320,7/28/2016,1,0,0,0,0,0,KENAI
320,7/29/2016,6,0,0,2,0,0,KENAI
321,7/20/2016,4,0,0,0,0,0,KENAI
322,7/15/2016,1,0,0,0,0,0,KASILOF
322,7/16/2016,0,0,0,0,0,1,KASILOF
322,7/17/2016,0,0,1,0,0,0,KASILOF
322,7/20/2016,0,0,0,0,0,0,KASILOF
322,7/21/2016,0,0,0,0,0,0,KASILOF
322,7/29/2016,0,0,3,0,0,0,KASILOF
322,7/30/2016,4,0,4,0,0,0,KASILOF
322,7/31/2016,0,0,3,1,0,0,KASILOF
324,7/20/2016,4,0,0,0,0,0,KENAI
325,7/21/2016,10,0,0,0,0,0,KENAI
326,7/20/2016,7,0,0,0,0,0,KENAI
326,7/21/2016,4,0,0,0,0,0,KENAI
326,7/22/2016,12,0,0,0,0,0,KENAI
326,7/30/2016,4,0,0,0,0,0,KENAI
326,7/31/2016,3,0,0,0,0,0,KENAI
330,7/20/2016,0,0,0,0,0,0,KENAI
331,7/10/2016,10,0,0,0,0,0,KENAI
331,7/20/2016,35,0,0,0,0,0,KENAI
332,7/19/2016,4,0,0,0,0,0,KENAI
335,7/20/2016,0,0,0,0,0,0,KENAI
336,7/22/2016,25,0,0,0,0,0,KENAI
337,7/9/2016,13,0,0,0,0,0,KENAI
342,7/20/2016,0,0,0,0,0,0,KENAI
342,7/21/2016,25,0,0,0,0,0,KENAI
342,7/22/2016,30,0,0,0,0,0,KENAI
345,7/21/2016,33,0,0,2,0,0,KENAI
345,7/23/2016,18,0,0,2,0,0,KENAI
351,7/19/2016,15,0,0,0,0,0,KENAI
352,7/22/2016,35,0,0,0,0,0,KENAI
353,7/20/2016,6,0,0,0,0,0,KENAI
357,7/17/2016,5,0,0,0,0,0,KENAI
361,7/17/2016,7,0,0,0,0,0,KENAI
362,7/18/2016,6,0,0,0,0,0,KENAI
363,7/21/2016,32,0,0,0,0,0,KENAI
363,7/25/2016,8,0,0,0,0,0,KENAI
363,7/30/2016,14,0,0,0,0,0,KENAI
364,7/19/2016,12,0,0,0,0,0,KENAI
364,7/21/2016,13,0,0,0,0,0,KENAI
366,7/18/2016,8,0,0,0,0,0,KENAI
366,7/25/2016,11,0,0,0,0,0,KENAI
371,7/17/2016,3,0,0,0,0,0,KENAI
373,7/23/2016,6,0,0,0,0,0,KENAI
373,7/25/2016,2,0,0,0,0,0,KENAI
376,7/20/2016,1,0,0,0,0,0,KENAI
376,7/21/2016,13,0,0,0,0,0,KENAI
377,7/21/2016,23,0,0,0,0,0,KENAI
378,7/22/2016,13,0,0,0,0,0,KENAI
379,7/11/2016,11,0,0,0,0,0,KENAI
380,7/19/2016,3,0,0,0,0,0,KENAI
380,7/20/2016,5,0,0,0,0,0,KENAI
380,7/21/2016,4,0,0,0,0,0,KENAI
381,7/25/2016,2,0,0,0,0,0,KENAI
382,7/25/2016,0,0,0,0,0,0,KENAI
383,7/18/2016,4,0,0,0,0,0,KENAI
383,7/19/2016,21,0,0,0,0,0,UNKNOWN
384,7/22/2016,14,0,0,0,0,0,KENAI
386,8/7/2016,2,0,0,0,0,0,KENAI
389,7/19/2016,0,0,0,0,0,0,KENAI
389,7/20/2016,4,0,0,0,0,0,KENAI
390,7/20/2016,25,0,0,0,0,0,KENAI
391,7/19/2016,6,0,0,0,6,0,KENAI
393,7/22/2016,12,0,0,0,0,0,KENAI
393,7/24/2016,12,0,0,0,0,0,KENAI
396,7/20/2016,6,0,0,0,0,0,KENAI
396,7/21/2016,23,0,0,0,0,0,KENAI
396,7/22/2016,0,1,0,0,0,0,KENAI
396,7/23/2016,15,0,0,0,0,0,KENAI
398,7/20/2016,23,0,0,0,0,0,KENAI
400,7/28/2016,3,1,0,0,0,0,KENAI
402,7/23/2016,7,0,0,0,0,0,KENAI
402,7/24/2016,28,0,0,0,0,0,KENAI
404,7/21/2016,16,1,0,0,0,0,KENAI
405,8/1/2016,19,0,0,0,0,0,KENAI
406,7/21/2016,4,0,0,0,0,0,KENAI
409,7/27/2016,24,0,0,3,0,0,KENAI
409,7/31/2016,8,0,0,0,0,0,KENAI
410,7/18/2016,0,0,0,0,0,0,KENAI
414,7/21/2016,30,0,0,0,0,0,KENAI
415,7/16/2016,19,0,0,0,0,0,KENAI
419,7/21/2016,16,0,0,0,0,0,KENAI
419,7/22/2016,15,0,0,0,0,0,KENAI
420,7/20/2016,7,1,0,0,0,0,KENAI
420,7/21/2016,0,0,0,0,0,0,KENAI
420,7/22/2016,7,0,0,0,0,0,KENAI
424,7/21/2016,2,0,0,0,0,0,KENAI
424,7/22/2016,8,0,0,0,0,0,KENAI
425,7/22/2016,61,0,0,2,0,0,KASILOF
426,7/25/2016,6,0,0,0,0,0,KENAI
427,7/22/2016,18,0,0,2,0,0,KENAI
431,7/24/2016,18,1,0,0,0,0,KENAI
433,7/22/2016,0,0,0,0,0,0,KENAI
435,7/29/2016,2,0,0,2,0,1,KENAI
439,7/20/2016,14,0,0,0,0,0,KENAI
439,7/21/2016,32,0,0,0,0,0,KENAI
439,7/22/2016,9,0,0,0,0,0,KENAI
440,7/21/2016,6,0,0,0,0,0,KENAI
440,7/22/2016,10,0,0,0,0,0,KENAI
441,7/21/2016,17,0,0,0,0,0,KENAI
443,7/20/2016,0,0,0,2,0,0,KENAI
444,7/21/2016,8,0,0,0,0,0,KENAI
444,7/22/2016,24,0,0,0,0,0,KENAI
446,7/24/2016,9,0,0,0,0,0,KASILOF
449,7/22/2016,8,0,0,0,0,0,KENAI
450,7/31/2016,30,0,0,2,0,0,KENAI
451,7/24/2016,10,0,0,0,0,0,KENAI
454,7/20/2016,25,0,0,0,0,0,KENAI
455,7/22/2016,0,0,0,0,0,0,KENAI
456,7/23/2016,7,0,0,0,0,0,KASILOF
457,7/22/2016,53,0,0,0,0,0,KENAI
457,7/26/2016,15,0,0,0,0,0,KENAI
457,7/29/2016,30,0,0,0,0,0,KENAI
460,7/16/2016,3,0,0,0,0,0,KENAI
460,7/17/2016,6,0,0,0,0,0,KENAI
462,7/22/2016,1,0,0,0,0,0,KENAI
462,7/23/2016,2,0,0,0,0,0,KENAI
465,7/26/2016,3,0,0,0,0,0,KENAI
465,7/27/2016,17,0,0,0,0,0,KENAI
466,7/23/2016,2,0,0,0,0,0,KENAI
468,7/23/2016,0,0,12,0,0,0,KENAI
471,7/26/2016,1,0,0,0,0,0,KENAI
471,7/28/2016,1,0,0,0,0,0,KENAI
471,7/31/2016,2,0,0,0,0,0,KENAI
472,7/25/2016,3,0,0,0,0,0,KENAI
473,7/25/2016,16,0,0,0,0,0,KENAI
474,7/21/2016,0,0,0,2,0,0,KENAI
475,7/13/2016,6,0,0,0,0,0,KENAI
475,7/24/2016,4,0,0,0,0,0,KENAI
475,7/30/2016,3,0,0,0,0,0,KENAI
476,7/24/2016,5,0,0,6,0,1,KENAI
476,8/7/2016,1,0,0,5,0,0,KASILOF
479,7/23/2016,5,0,0,0,0,0,KENAI
480,7/23/2016,35,0,0,0,0,0,KENAI
481,7/30/2016,5,0,0,2,0,0,KENAI
485,7/30/2016,7,0,0,0,0,0,KENAI
486,7/27/2016,0,0,0,0,0,0,KASILOF
487,7/15/2016,0,0,0,0,0,0,KENAI
487,7/16/2016,0,0,0,0,0,0,KENAI
490,7/31/2016,7,0,0,0,0,0,KENAI
493,7/22/2016,3,0,0,0,0,0,KASILOF
496,7/26/2016,6,0,0,0,0,0,KENAI
496,7/27/2016,17,0,0,0,0,0,KENAI
500,7/29/2016,0,0,0,0,0,0,KENAI
501,7/23/2016,17,0,0,0,0,0,KENAI
501,7/24/2016,3,0,0,3,0,0,KENAI
502,7/27/2016,9,0,0,0,0,0,KENAI
503,7/23/2016,11,0,0,0,0,0,KENAI
503,7/24/2016,5,0,0,0,0,0,KENAI
503,7/25/2016,6,0,0,0,0,0,KENAI
503,7/26/2016,3,0,0,0,0,0,KENAI
504,7/28/2016,33,0,0,0,0,0,KENAI
507,7/20/2016,3,0,0,0,0,0,KENAI
509,7/23/2016,0,0,0,0,0,0,KENAI
510,7/23/2016,10,0,0,0,0,0,KENAI
512,7/22/2016,10,0,0,0,0,0,KENAI
514,7/21/2016,24,0,0,0,0,0,KENAI
514,7/22/2016,1,0,0,0,0,0,KENAI
515,7/31/2016,10,0,0,0,0,0,KENAI
516,7/21/2016,11,0,0,0,0,0,KENAI
516,7/22/2016,19,0,0,0,0,0,KENAI
516,7/23/2016,8,0,0,1,0,0,KENAI
519,7/22/2016,10,0,0,2,0,3,KENAI
520,7/20/2016,8,0,0,0,0,0,KENAI
520,7/21/2016,10,0,0,0,0,0,KENAI
520,7/29/2016,17,0,0,0,0,0,KENAI
524,7/27/2016,0,0,0,0,0,0,KENAI
526,7/21/2016,15,0,0,0,0,0,KENAI
530,7/19/2016,0,0,0,0,0,0,KENAI
531,7/19/2016,0,0,0,0,0,0,KENAI
532,7/23/2016,27,0,0,0,0,0,KENAI
532,7/24/2016,8,0,0,0,0,0,KENAI
533,7/26/2016,2,0,0,0,0,0,KENAI
534,7/24/2016,10,0,0,0,0,0,KENAI
