"","permit","fishery","red","king","coho","pink","chum","flounder","mailing","status","city"
"179",746,"KENAI",6,0,0,3,0,4,0,"HARVEST REPORTED","JBER"
"180",748,"KENAI",19,0,0,0,0,0,0,"HARVEST REPORTED","JBER"
"181",749,"KASILOF DIPNET",40,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"182",750,"KASILOF DIPNET",35,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"183",751,"KENAI",8,0,0,0,0,0,0,"HARVEST REPORTED","WASILLA"
"184",753,"KENAI",45,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"185",754,"KASILOF DIPNET",4,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"186",755,"KASILOF DIPNET",0,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"187",755,"KENAI",0,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"188",756,"KENAI",8,0,0,2,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"189",757,"KENAI",6,0,0,0,0,0,0,"HARVEST REPORTED","FAIRBANKS"
"190",759,"KASILOF DIPNET",3,0,0,2,0,0,0,"HARVEST REPORTED","JBER"
"191",760,"KENAI",50,0,0,0,0,3,0,"HARVEST REPORTED","ANCHORAGE"
"192",762,"FISH CREEK",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"193",765,"KASILOF DIPNET",27,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"194",767,"KENAI",1,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"195",770,"KENAI",0,0,0,0,0,0,2,"HARVEST REPORTED","JBER"
"196",771,"KENAI",8,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"197",772,"KENAI",0,0,0,0,0,0,0,"HARVEST REPORTED","WASILLA"
"198",773,"KENAI",8,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"199",774,"KENAI",7,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"200",777,"KASILOF GILLNET",0,0,0,0,0,0,2,"HARVEST REPORTED","ANCHORAGE"
"201",778,"KENAI",8,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"202",779,"KASILOF DIPNET",21,0,0,0,0,2,0,"HARVEST REPORTED","EAGLE RIVER"
"203",781,"KENAI",9,0,0,0,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"204",781,"UNKNOWN",3,0,0,3,0,0,1,"HARVEST REPORTED","ANCHORAGE"
"205",782,"KASILOF DIPNET",25,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"206",783,"KENAI",0,0,0,0,0,0,1,"HARVEST REPORTED","WASILLA"
"207",785,"KENAI",0,0,0,0,0,0,1,"HARVEST REPORTED","WASILLA"
"208",786,"KENAI",3,0,0,1,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"209",787,"KENAI",1,0,0,0,0,0,1,"HARVEST REPORTED","JBER"
"210",789,"KENAI",30,0,0,4,0,0,0,"HARVEST REPORTED","EAGLE RIVER"
"211",790,"KASILOF DIPNET",33,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"212",791,"KASILOF DIPNET",3,0,0,0,0,0,1,"HARVEST REPORTED","JBER"
"213",792,"KENAI",9,0,0,0,0,0,2,"HARVEST REPORTED","JBER"
"214",793,"KASILOF DIPNET",12,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
"215",795,"UNKNOWN",0,0,0,0,0,0,0,"HARVEST REPORTED","ANCHORAGE"
