gear_mark,section_mark,len_mark,tag,section_recap,len_recap,gear_recap,mark,recap,both_events
Angling,3,488,1500,NA,NA,NA,1,0,0
Angling,3,445,1501,NA,NA,NA,1,0,0
Angling,3,428,1502,NA,NA,NA,1,0,0
Angling,3,443,1504,NA,NA,NA,1,0,0
Angling,3,390,1505,3,396,Gill Net,1,1,1
Angling,3,440,1506,1,445,Gill Net,1,1,1
Angling,3,642,1507,2,663,Gill Net,1,1,1
Angling,3,408,1508,2,416,Gill Net,1,1,1
Angling,3,427,1510,NA,NA,NA,1,0,0
Angling,3,401,1511,NA,NA,NA,1,0,0
Angling,4,400,1512,3,416,Angler,1,1,1
Angling,4,385,1513,4,395,Gill Net,1,1,1
Angling,4,364,1514,NA,NA,NA,1,0,0
Angling,4,410,1515,NA,NA,NA,1,0,0
Angling,4,316,1517,NA,NA,NA,1,0,0
Angling,4,342,1518,NA,NA,NA,1,0,0
Angling,4,440,1520,NA,NA,NA,1,0,0
Angling,4,395,1521,4,409,Gill Net,1,1,1
Angling,4,446,1522,4,425,Gill Net,1,1,1
Angling,4,399,1523,4,404,Gill Net,1,1,1
Angling,4,510,1524,NA,NA,NA,1,0,0
Angling,6,460,1540,6,495,Angler,1,1,1
Angling,6,330,1541,NA,NA,NA,1,0,0
Angling,3,414,1542,3,424,Gill Net,1,1,1
Angling,3,362,1543,NA,NA,NA,1,0,0
Angling,3,414,1544,3,416,Angler,1,1,1
Angling,3,401,1545,3,436,Gill Net,1,1,1
Angling,3,406,1546,NA,NA,NA,1,0,0
Angling,3,300,1547,NA,NA,NA,1,0,0
Angling,3,453,1548,NA,NA,NA,1,0,0
Angling,3,342,1549,NA,NA,NA,1,0,0
Angling,6,366,1800,6,394,Gill Net,1,1,1
Angling,6,437,1801,NA,NA,NA,1,0,0
Angling,6,461,1802,NA,NA,NA,1,0,0
Angling,6,338,1803,NA,NA,NA,1,0,0
Angling,4,376,1804,NA,NA,NA,1,0,0
Angling,4,460,1805,4,465,Gill Net,1,1,1
Angling,4,355,1806,4,366,Angler,1,1,1
Angling,4,333,1807,3,333,Gill Net,1,1,1
Angling,4,327,1808,NA,NA,NA,1,0,0
Angling,4,328,1809,NA,NA,NA,1,0,0
Angling,4,359,1810,NA,NA,NA,1,0,0
Angling,4,393,1811,4,406,Angler,1,1,1
Angling,4,595,1812,1,600,Gill Net,1,1,1
Angling,4,365,1813,4,366,Angler,1,1,1
Angling,4,347,1814,4,344,Gill Net,1,1,1
Angling,4,322,1815,NA,NA,NA,1,0,0
Angling,4,337,1816,NA,NA,NA,1,0,0
Angling,4,304,1817,NA,NA,NA,1,0,0
Angling,4,415,1818,NA,NA,NA,1,0,0
Angling,4,442,1819,4,439,Gill Net,1,1,1
Angling,4,312,1820,4,401,Angler,1,1,1
Angling,4,391,1821,4,396,Gill Net,1,1,1
Angling,4,324,1822,NA,NA,NA,1,0,0
Angling,4,395,1823,NA,NA,NA,1,0,0
Angling,4,376,1824,4,367,Gill Net,1,1,1
Angling,6,304,1841,NA,NA,NA,1,0,0
Angling,6,387,1842,6,380,Gill Net,1,1,1
Angling,6,338,1843,NA,NA,NA,1,0,0
Angling,6,372,1844,6,381,Gill Net,1,1,1
Angling,6,445,1845,NA,NA,NA,1,0,0
Angling,6,435,1846,NA,NA,NA,1,0,0
Angling,6,344,1847,6,357,Gill Net,1,1,1
Angling,6,436,1848,6,465,Gill Net,1,1,1
Angling,6,332,1849,6,326,Gill Net,1,1,1
Angling,3,374,1850,NA,NA,NA,1,0,0
Angling,3,335,1851,NA,NA,NA,1,0,0
Angling,3,566,1852,2,582,Gill Net,1,1,1
Angling,3,398,1853,NA,NA,NA,1,0,0
Angling,3,345,1854,NA,NA,NA,1,0,0
Angling,3,431,1855,3,430,Angler,1,1,1
Angling,3,448,1856,NA,NA,NA,1,0,0
Angling,3,587,1857,3,607,Gill Net,1,1,1
Angling,3,522,1858,NA,NA,NA,1,0,0
Angling,3,556,1859,1,570,Gill Net,1,1,1
Angling,2,438,1861,1,462,Gill Net,1,1,1
Angling,2,326,1862,NA,NA,NA,1,0,0
Angling,2,421,1863,1,442,Gill Net,1,1,1
Angling,2,402,1864,NA,NA,NA,1,0,0
Angling,2,322,1865,2,345,Gill Net,1,1,1
Angling,2,368,1866,2,405,Gill Net,1,1,1
Angling,2,357,1867,2,392,Angler,1,1,1
Angling,2,371,1868,2,385,Gill Net,1,1,1
Angling,2,352,1869,NA,NA,NA,1,0,0
Angling,2,511,1870,1,527,Gill Net,1,1,1
Angling,2,437,1871,2,445,Gill Net,1,1,1
Angling,2,341,1872,3,374,Gill Net,1,1,1
Angling,2,462,1873,3,501,Angler,1,1,1
Angling,4,382,1875,NA,NA,NA,1,0,0
Angling,4,437,1876,NA,NA,NA,1,0,0
Angling,4,353,1877,NA,NA,NA,1,0,0
Angling,4,358,1878,NA,NA,NA,1,0,0
Angling,4,300,1879,NA,NA,NA,1,0,0
Angling,4,339,1880,NA,NA,NA,1,0,0
Angling,4,336,1881,NA,NA,NA,1,0,0
Angling,4,338,1882,NA,NA,NA,1,0,0
Angling,4,305,1883,NA,NA,NA,1,0,0
Angling,4,409,1884,NA,NA,NA,1,0,0
Angling,4,315,1885,NA,NA,NA,1,0,0
Angling,4,452,1887,4,464,Gill Net,1,1,1
Angling,4,328,1888,NA,NA,NA,1,0,0
Angling,5,515,1889,5,534,Gill Net,1,1,1
Angling,5,504,1890,NA,NA,NA,1,0,0
Angling,1,352,1891,1,394,Gill Net,1,1,1
Angling,3,452,1892,NA,NA,NA,1,0,0
Angling,3,312,1893,NA,NA,NA,1,0,0
Angling,3,445,1894,3,445,Gill Net,1,1,1
Angling,3,396,1895,3,411,Gill Net,1,1,1
Angling,3,558,1896,3,576,Gill Net,1,1,1
Angling,3,446,1897,NA,NA,NA,1,0,0
Angling,3,457,1898,3,478,Angler,1,1,1
Angling,3,555,1899,3,550,Angler,1,1,1
NA,NA,NA,,1,535,Gill Net,0,1,0
NA,NA,NA,,1,410,Gill Net,0,1,0
NA,NA,NA,,1,642,Gill Net,0,1,0
NA,NA,NA,,1,407,Gill Net,0,1,0
NA,NA,NA,,1,330,Gill Net,0,1,0
NA,NA,NA,,1,305,Gill Net,0,1,0
NA,NA,NA,,1,484,Gill Net,0,1,0
NA,NA,NA,,1,439,Gill Net,0,1,0
NA,NA,NA,,1,420,Gill Net,0,1,0
NA,NA,NA,,1,368,Gill Net,0,1,0
NA,NA,NA,,1,320,Gill Net,0,1,0
NA,NA,NA,,1,290,Gill Net,0,1,0
NA,NA,NA,,1,301,Gill Net,0,1,0
NA,NA,NA,,1,295,Gill Net,0,1,0
NA,NA,NA,,1,290,Gill Net,0,1,0
NA,NA,NA,,1,220,Gill Net,0,1,0
NA,NA,NA,,1,260,Gill Net,0,1,0
NA,NA,NA,,1,305,Gill Net,0,1,0
NA,NA,NA,,1,216,Gill Net,0,1,0
NA,NA,NA,,1,286,Gill Net,0,1,0
NA,NA,NA,,1,284,Gill Net,0,1,0
NA,NA,NA,,1,240,Gill Net,0,1,0
NA,NA,NA,,1,230,Gill Net,0,1,0
NA,NA,NA,,1,366,Gill Net,0,1,0
NA,NA,NA,,1,336,Gill Net,0,1,0
