"","city","permits_issued","permits_returned","permits_not_returned","permits_fished","no_return_but_fished","fishery","red","king","coho","pink","chum","flounder","exp_reds","exp_kings","exp_coho","exp_pink","exp_chum","exp_flounder"
"249","SELDOVIA",7,5,2,5,1.37,"KENAI",52,0,0,1,0,0,66,0,0,1,0,0
"250","SEWARD",98,87,11,66,7.53,"KASILOF DIPNET",165,0,6,4,2,2,184,0,7,4,2,2.22818181818182
"251","SEWARD",98,87,11,66,7.53,"KASILOF GILLNET",82,1,0,0,0,0,91,1,0,0,0,0
"252","SEWARD",98,87,11,66,7.53,"KENAI",728,0,1,12,0,8,811,0,1,13,0,8.91272727272727
"253","SEWARD",98,87,11,66,7.53,"UNKNOWN",10,0,0,0,0,0,11,0,0,0,0,0
"254","SHISHMAREF",1,1,0,1,0,"KASILOF DIPNET",16,0,0,0,0,0,16,0,0,0,0,0
"255","SILVERDALE",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256","SITKA",6,4,2,2,1.37,"KENAI",23,0,0,0,0,0,39,0,0,0,0,0
"257","SKAGWAY",4,2,2,2,1.37,"KASILOF DIPNET",28,0,1,2,0,0,47,0,2,3,0,0
"258","SKAGWAY",4,2,2,2,1.37,"KENAI",17,0,0,0,0,0,29,0,0,0,0,0
"259","SKWENTNA",2,2,0,1,0,"KASILOF GILLNET",3,0,0,0,0,0,3,0,0,0,0,0
"260","SOLDOTNA",1450,1194,256,839,175.25,"FISH CREEK",9,0,1,8,0,1,11,0,1,10,0,1.20887961859356
"261","SOLDOTNA",1450,1194,256,839,175.25,"KASILOF DIPNET",2318,1,43,98,2,17,2802,1,52,118,2,20.5509535160906
"262","SOLDOTNA",1450,1194,256,839,175.25,"KASILOF GILLNET",1064,11,0,0,0,12,1286,13,0,0,0,14.5065554231228
"263","SOLDOTNA",1450,1194,256,839,175.25,"KENAI",8402,0,28,507,4,161,10157,0,34,613,5,194.629618593564
"264","SOLDOTNA",1450,1194,256,839,175.25,"UNKNOWN",95,0,0,5,0,4,115,0,0,6,0,4.83551847437425
"265","SPRING LAKE",2,2,0,2,0,"KASILOF DIPNET",0,0,0,0,0,0,0,0,0,0,0,0
"266","SPRINGFIELD",1,1,0,1,0,"KENAI",14,0,0,1,0,0,14,0,0,1,0,0
"267","ST AUGUSTINE",1,1,0,1,0,"KENAI",2,0,0,0,0,3,2,0,0,0,0,3
"268","STERLING",345,293,52,216,35.6,"FISH CREEK",6,0,0,0,0,0,7,0,0,0,0,0
"269","STERLING",345,293,52,216,35.6,"KASILOF DIPNET",659,0,17,16,0,2,768,0,20,19,0,2.32962962962963
"270","STERLING",345,293,52,216,35.6,"KASILOF GILLNET",282,6,0,0,0,0,328,7,0,0,0,0
"271","STERLING",345,293,52,216,35.6,"KENAI",2271,0,15,89,4,40,2645,0,17,104,5,46.5925925925926
"272","STERLING",345,293,52,216,35.6,"UNKNOWN",56,0,0,0,0,0,65,0,0,0,0,0
"273","SUTTON",47,29,18,23,12.32,"FISH CREEK",65,0,0,2,3,0,100,0,0,3,5,0
"274","SUTTON",47,29,18,23,12.32,"KASILOF DIPNET",79,0,0,4,0,0,121,0,0,6,0,0
"275","SUTTON",47,29,18,23,12.32,"KASILOF GILLNET",3,0,0,0,0,0,5,0,0,0,0,0
"276","SUTTON",47,29,18,23,12.32,"KENAI",173,0,1,11,0,4,266,0,2,17,0,6.14260869565217
"277","TALKEETNA",45,36,9,28,6.16,"FISH CREEK",73,0,33,4,0,0,89,0,40,5,0,0
"278","TALKEETNA",45,36,9,28,6.16,"KASILOF DIPNET",207,0,0,0,0,0,253,0,0,0,0,0
"279","TALKEETNA",45,36,9,28,6.16,"KASILOF GILLNET",59,0,0,0,0,0,72,0,0,0,0,0
"280","TALKEETNA",45,36,9,28,6.16,"KENAI",188,0,0,6,2,2,229,0,0,7,2,2.44
"281","TALKEETNA",45,36,9,28,6.16,"UNKNOWN",4,0,0,3,0,0,5,0,0,4,0,0
